file001_18S_clip	file002_18S_clip	file003_18S_clip	file004_18S_clip	file005_18S_clip	file006_18S_clip	file007_18S_clip	file008_18S_clip	file009_18S_clip	file010_18S_clip	file011_18S_clip	file012_18S_clip	file013_18S_clip	file014_18S_clip	file015_18S_clip	file016_18S_clip	file017_18S_clip	file018_18S_clip	file019_18S_clip	file020_18S_clip	file021_18S_clip	file022_18S_clip	file023_18S_clip	file024_18S_clip	file025_18S_clip	file026_18S_clip	file027_18S_clip	file028_18S_clip	file029_18S_clip	file030_18S_clip	file031_18S_clip	file032_18S_clip
asv107	3	405	0	0	39	236	160	0	0	0	0	0	1	9	95	1	1	0	0	0	297	0	0	1740	0	396	0	0	0	0	43	0
asv108	28	256	7	0	10	427	298	0	0	1	4	22	335	35	91	772	12	207	4	0	363	3	0	402	0	90	0	16	0	0	42	0
asv109	250	4	87	0	202	0	191	0	139	178	431	113	27	691	7	14	311	68	65	0	20	67	1	0	0	14	0	513	0	0	28	0
asv110	339	13	8	0	2	5	504	0	14	36	61	63	196	110	29	87	13	1667	11	0	22	38	0	1	0	33	0	120	0	0	13	0
asv111	58	6	1	0	0	137	0	0	1	35	0	0	6	0	181	0	0	0	0	0	298	0	0	93	2	8	2484	3	1	0	7	0
asv112	0	0	0	0	0	8	0	1	0	2	0	2	1	1	2	0	0	0	1	0	0	2	0	3242	0	0	0	1	1	0	0	1
asv113	0	872	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	5	0	449	0	1711	0	0	0	0	0	0
asv114	0	534	0	0	66	212	584	0	10	26	0	1	1	76	167	0	33	12	0	0	786	2	0	169	0	297	0	3	0	0	22	0
asv115	0	409	1	0	0	520	196	0	0	0	0	0	0	0	79	1	0	0	0	0	621	1	0	603	0	547	0	0	0	0	0	0
asv116	0	714	0	0	0	303	217	0	0	0	0	0	0	0	183	0	0	0	0	0	1052	0	1	98	0	376	0	0	0	0	13	1
asv117	240	11	90	0	71	11	212	0	102	193	325	148	108	582	11	3	150	210	83	0	36	59	0	3	0	20	0	269	0	0	17	0
asv118	183	17	38	0	375	4	355	0	89	45	135	188	197	155	12	10	45	645	60	0	48	84	0	6	0	70	0	93	0	0	87	0
asv119	2	166	0	0	0	27	250	0	0	0	0	0	0	0	46	0	2	0	0	0	206	0	0	1837	0	317	0	0	0	0	2	0
asv120	193	44	0	0	10	13	1242	0	4	27	1	8	219	35	31	17	5	824	6	0	88	2	0	17	0	30	0	18	0	0	20	0
asv121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2852	0	0	0	0	0	0	0	0	0	0	0	0
